,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
expression,0,0,0,0,10,15,15,18,24,44,36,58,68,84,76,97,124,149,210,223,262,305,366,426,469,514,577,549,569,558,618,611,648,659,662,750,694,10488
dirac,0,0,0,0,0,12,15,21,72,107,128,145,169,145,188,200,212,193,296,236,300,447,428,529,485,547,474,421,493,422,472,481,534,537,576,568,630,10483
constants,0,0,0,0,6,8,16,28,31,41,48,52,54,50,73,108,162,150,189,200,263,298,293,368,479,462,531,554,595,623,635,647,661,662,664,716,816,10483
identities,0,0,0,15,18,50,23,64,55,69,52,88,71,84,95,168,155,189,237,193,263,327,370,384,431,519,393,522,485,653,589,734,525,604,602,678,753,10458
interactions,0,0,0,0,0,0,0,21,0,37,42,31,60,60,58,70,117,138,116,137,190,249,243,318,325,349,427,438,471,532,703,698,764,728,819,1049,1246,10436
radius,0,0,0,0,0,9,0,11,7,16,36,28,30,51,64,71,97,123,158,140,195,257,339,355,345,405,463,494,564,572,604,732,679,844,846,913,988,10436
walk,0,0,0,0,0,0,0,0,0,17,15,30,48,59,81,122,160,298,269,216,292,339,407,465,449,553,539,598,609,617,637,647,508,568,597,674,619,10433
singularity,0,0,0,0,0,13,10,14,14,35,50,70,72,98,141,118,135,187,216,208,211,279,346,448,436,453,467,471,571,537,622,615,632,636,746,736,841,10428
circle,0,0,0,10,9,10,34,28,34,68,71,93,88,99,163,212,179,189,224,252,256,314,330,365,433,498,448,496,554,483,675,554,580,555,677,700,732,10413
knot,0,0,0,0,14,21,29,51,41,85,93,107,114,139,203,313,214,252,257,272,275,405,380,401,390,517,519,448,476,505,532,607,524,542,520,552,606,10404
applying,0,0,0,0,5,0,11,12,7,27,29,28,39,39,48,76,93,118,121,131,143,255,274,309,400,404,418,509,540,604,656,753,774,742,794,1001,1041,10401
leading,0,0,0,0,5,7,8,11,18,22,28,36,42,55,55,91,102,127,141,188,192,238,255,316,345,397,413,439,473,519,601,681,703,708,866,1040,1251,10373
mechanics,0,0,0,6,0,12,19,23,54,90,104,148,127,137,159,188,215,218,247,294,319,424,404,488,559,452,458,375,481,438,492,529,517,592,532,639,630,10370
ground,0,0,0,0,0,0,0,21,31,25,48,82,60,103,77,131,109,160,124,199,229,266,279,308,300,369,430,497,504,612,627,693,757,790,791,858,869,10349
powers,0,0,0,0,10,9,14,13,18,34,38,47,79,99,90,112,145,181,208,212,258,311,330,344,461,419,485,477,570,548,661,681,711,615,651,714,775,10320
towards,0,0,0,0,0,10,8,9,6,12,22,25,30,34,41,57,82,114,104,136,144,190,250,269,308,358,439,470,495,580,647,779,915,863,989,1033,885,10304
prior,0,0,0,0,0,0,0,0,0,0,14,13,10,15,16,35,42,85,123,117,150,137,254,267,313,374,406,425,496,559,641,781,856,840,934,1012,1376,10291
proving,0,0,0,0,0,13,11,9,11,13,33,31,37,41,74,82,94,122,173,182,176,209,281,355,366,419,478,497,538,569,641,651,723,721,746,890,1084,10270
essential,0,0,0,0,7,17,12,5,25,30,41,47,48,82,92,127,139,145,167,216,210,279,278,334,347,390,435,452,477,480,557,601,691,708,739,976,1115,10269
achieved,0,0,0,0,0,0,5,0,7,11,11,14,18,35,44,52,79,95,151,129,169,250,275,313,390,429,489,530,556,562,672,706,731,781,864,948,937,10253
providing,0,0,0,0,0,0,0,7,5,11,10,16,21,30,41,37,68,77,98,111,136,174,199,243,319,315,360,423,462,579,550,645,665,673,904,1246,1820,10245
trivial,0,0,0,8,17,28,20,35,43,54,72,104,98,122,126,169,150,243,176,236,273,312,301,347,445,428,496,562,547,545,550,634,589,566,583,668,698,10245
earlier,0,0,0,6,14,16,23,30,47,39,70,81,71,111,103,158,170,193,225,247,295,359,364,404,422,453,508,529,523,547,598,596,571,579,583,590,713,10238
population,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,50,69,94,126,143,152,219,257,312,389,456,509,484,518,574,689,887,804,787,839,935,903,10233
questions,0,0,0,11,14,11,21,30,25,37,25,29,50,84,98,121,132,172,158,178,250,257,315,332,472,429,462,515,549,557,577,706,671,662,697,774,799,10220
dense,0,0,0,23,13,15,17,13,12,28,54,26,40,53,69,120,96,144,157,195,216,317,319,333,369,418,516,550,591,567,613,681,656,661,699,748,855,10184
additionally,0,0,0,0,0,0,0,0,0,0,6,0,0,9,12,25,32,36,45,65,71,92,112,146,191,223,298,300,373,375,443,580,620,685,1280,2227,1916,10162
navierstokes,0,0,0,0,0,0,0,0,0,6,12,14,18,21,25,65,105,118,150,176,179,239,309,356,370,374,477,453,545,640,674,657,762,762,769,905,971,10152
converge,0,0,0,0,0,8,0,6,5,0,20,10,24,39,44,71,74,121,141,162,181,232,307,353,351,430,445,516,543,593,678,805,751,699,763,859,903,10134
guarantees,0,0,0,0,0,0,0,5,0,0,0,0,6,0,5,9,15,17,31,38,56,92,121,198,198,237,301,370,434,499,701,841,944,926,1033,1221,1836,10134
relies,0,0,0,0,0,0,0,5,0,6,12,20,29,30,30,63,80,95,119,126,121,175,218,300,324,377,434,500,537,581,650,763,818,722,848,946,1200,10129
knots,0,0,0,0,7,17,30,44,48,97,133,160,130,155,205,248,239,277,297,243,296,322,368,356,408,509,499,476,427,393,522,563,510,526,495,604,522,10126
splitting,0,0,0,0,0,0,8,5,17,26,37,36,40,62,70,87,73,80,116,185,165,234,290,377,403,456,492,552,560,593,652,657,669,692,706,857,928,10125
view,0,0,0,8,9,16,18,26,31,28,55,58,69,97,95,150,123,191,192,240,246,317,385,401,444,476,490,515,513,553,592,666,640,636,622,603,612,10117
relevant,0,0,0,0,5,0,16,12,18,25,27,49,38,46,64,104,83,107,136,151,167,269,303,318,368,437,430,433,526,549,598,681,712,743,838,925,935,10113
effectiveness,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,7,11,23,30,40,47,60,104,121,186,225,298,361,420,469,573,758,847,834,1205,1602,1878,10112
wellposedness,0,0,0,0,0,0,0,0,0,0,0,8,25,11,12,13,63,98,111,119,181,193,222,319,364,365,423,438,481,601,748,731,780,683,859,1065,1196,10109
still,0,0,0,6,6,6,7,6,11,17,20,27,37,45,62,79,86,106,145,137,199,199,256,308,389,385,433,487,564,544,688,781,783,791,886,831,782,10109
hybrid,0,0,0,0,0,0,0,0,0,0,0,9,6,7,8,9,30,28,45,69,77,90,177,212,230,346,496,513,606,713,715,786,878,865,961,1068,1160,10104
chains,0,0,0,0,11,0,6,11,23,23,36,71,47,49,60,144,158,138,248,204,259,298,381,420,378,477,486,472,550,529,671,678,595,656,583,683,758,10103
errors,0,0,0,0,0,0,0,0,0,6,23,15,23,23,27,27,72,81,105,150,176,194,226,234,341,390,438,458,546,570,605,760,806,757,819,999,1208,10079
interpretation,0,0,0,8,18,15,27,26,41,68,67,81,78,109,144,138,162,190,212,242,334,335,381,354,420,481,450,463,484,507,552,583,576,571,558,645,751,10071
admit,0,0,0,0,6,13,18,10,26,42,44,49,66,82,102,126,131,137,176,173,244,266,278,308,378,403,498,479,532,564,615,647,619,686,705,722,902,10047
optimality,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,24,45,67,89,115,124,179,203,278,332,365,466,513,599,624,689,811,800,793,942,919,1052,10042
extremal,0,0,0,7,0,13,10,14,0,22,41,30,38,68,66,76,91,105,181,138,180,260,353,402,486,456,504,495,545,585,641,589,665,698,693,730,857,10039
minimization,0,0,0,0,0,0,0,0,0,0,0,15,5,0,11,22,24,44,101,102,130,234,216,304,429,417,472,580,580,681,781,855,791,799,794,828,793,10008
search,0,0,0,0,0,7,9,0,0,0,14,14,18,22,40,46,60,83,85,106,133,200,267,309,272,404,358,516,511,538,628,769,806,811,900,957,1109,9992
directed,0,0,0,0,0,0,0,0,0,10,17,22,33,47,46,77,81,121,158,165,194,246,300,346,395,445,490,491,548,609,703,666,669,719,669,845,811,9923
orbit,0,0,0,11,0,15,14,21,20,33,70,106,81,107,121,144,143,208,230,219,247,330,358,387,370,449,508,485,441,527,507,571,600,541,634,716,705,9919
unbounded,0,0,0,0,6,6,10,0,12,20,33,20,28,43,56,63,91,113,176,183,204,246,255,331,384,467,482,529,545,658,648,723,633,684,691,736,843,9919
secondorder,0,0,0,0,0,0,0,0,5,13,16,17,6,26,25,26,59,58,84,97,117,195,199,251,334,351,377,441,524,510,628,701,812,743,873,1128,1281,9897
structural,0,0,0,0,0,5,0,8,5,14,11,17,11,22,25,39,50,55,104,106,115,167,230,231,311,322,408,369,471,533,585,743,757,738,793,911,1733,9889
generally,0,0,0,5,0,7,12,9,19,38,50,54,55,68,99,85,120,147,157,177,231,256,287,349,391,446,432,506,510,561,620,669,670,651,712,738,755,9886
across,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,13,40,38,38,52,64,93,115,162,209,211,248,264,338,366,424,553,641,646,964,1673,2701,9881
ball,0,0,0,0,0,0,9,20,19,17,35,32,39,45,72,96,127,134,196,203,196,239,294,372,368,428,503,494,549,620,602,674,685,649,749,658,731,9855
recovery,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,18,17,37,71,165,231,306,375,504,481,650,619,603,706,690,789,667,585,662,728,931,9854
require,0,0,0,0,0,0,0,0,8,9,14,9,20,21,31,33,46,66,73,103,140,167,224,283,320,366,381,445,538,610,656,796,807,805,893,951,1037,9852
continuity,0,0,0,0,6,0,0,0,9,23,16,13,31,32,42,73,77,89,113,154,194,252,251,338,382,411,524,510,564,609,621,723,611,737,662,814,939,9820
numerically,0,0,0,0,0,0,6,6,0,17,32,31,38,27,44,38,65,88,102,104,143,200,269,346,362,440,426,498,540,605,635,779,785,774,764,867,777,9808
phi,0,0,0,8,13,14,25,25,28,34,52,69,87,87,100,162,200,226,232,273,309,328,459,380,359,421,499,483,508,472,513,540,549,536,563,631,604,9789
interpolation,0,0,0,15,15,0,0,15,12,9,19,20,46,23,38,44,77,82,139,154,139,194,280,310,328,493,439,483,500,589,691,657,694,684,785,832,967,9773
purpose,0,0,0,13,7,25,18,22,23,33,49,53,54,74,95,128,132,177,195,230,227,285,342,376,433,450,473,565,570,593,581,654,607,612,561,611,490,9758
pdes,0,0,0,0,0,0,0,0,0,18,11,24,27,15,32,53,51,72,95,75,73,134,173,249,236,327,274,338,455,517,702,670,813,851,1103,1225,1143,9756
explore,0,0,0,0,0,0,0,7,8,7,19,20,20,38,31,47,60,70,100,114,125,166,213,224,248,299,334,386,441,451,516,682,693,715,950,1452,1309,9745
usual,0,0,0,11,21,28,21,31,48,62,75,85,90,86,110,177,155,223,243,270,307,294,363,389,452,483,476,474,529,501,537,583,530,511,548,560,470,9743
depend,0,0,0,7,6,9,12,22,16,29,31,47,40,71,78,101,99,129,169,180,214,238,297,338,410,426,489,494,519,501,551,653,691,664,682,729,800,9742
containing,0,0,0,11,8,17,20,22,36,25,63,48,63,91,77,114,130,134,173,169,223,247,331,353,432,436,446,494,545,537,584,627,643,594,679,705,655,9732
bases,0,0,0,0,12,32,15,24,39,54,77,55,79,92,106,120,181,187,221,201,309,335,319,366,398,433,452,498,446,547,505,495,562,574,529,678,786,9727
settings,0,0,0,0,0,0,0,0,0,0,0,0,7,8,13,19,27,49,50,63,81,102,152,205,243,272,313,395,440,496,647,760,782,796,959,1106,1736,9721
directly,0,0,0,0,0,0,0,12,6,17,26,34,36,41,42,60,73,97,104,142,146,212,230,290,332,365,394,381,525,485,620,662,698,787,812,928,1156,9713
patterns,0,0,0,0,0,0,0,0,0,13,27,24,58,92,53,65,94,129,117,120,142,185,215,307,368,383,482,366,460,475,606,672,647,689,792,1017,1081,9679
extending,0,0,0,0,6,7,6,16,12,18,37,36,38,48,77,97,101,134,134,165,208,213,245,310,339,362,415,449,459,488,508,566,596,635,704,838,1373,9640
presents,0,0,0,0,0,0,5,7,7,11,21,24,27,31,35,49,72,84,119,113,127,191,217,270,355,315,400,408,421,510,509,606,636,680,907,1113,1362,9632
resolution,0,0,0,0,5,24,24,28,22,50,69,66,74,87,94,104,133,174,170,214,244,304,274,370,375,411,402,435,539,457,500,572,593,613,661,743,789,9620
speed,0,0,0,0,0,0,0,0,0,5,8,17,16,27,30,47,41,83,113,127,182,235,275,292,364,347,457,469,581,512,650,769,769,749,761,868,819,9613
torsion,0,0,0,16,12,25,37,62,73,81,80,102,109,107,130,150,225,202,268,231,254,322,332,405,343,422,441,456,404,376,509,566,485,527,584,618,658,9612
delay,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,16,63,108,111,104,207,246,280,392,362,399,537,579,656,687,664,758,643,680,690,792,611,9606
kind,0,0,0,6,0,14,18,11,14,36,27,60,79,86,78,117,105,140,158,197,264,287,335,382,492,498,475,512,531,539,551,607,601,673,632,524,553,9602
ricci,0,0,0,0,0,0,7,0,11,12,35,27,37,71,91,104,142,136,319,231,301,332,435,379,412,436,422,446,534,446,488,631,627,489,595,659,736,9591
monotone,0,0,0,0,0,12,0,0,11,16,12,17,21,23,53,59,85,93,154,173,222,206,300,356,376,475,476,452,500,559,642,581,745,744,740,665,796,9564
multivariate,0,0,0,0,10,0,0,0,0,5,8,9,14,13,28,54,98,111,154,180,195,238,273,383,319,445,493,461,490,546,688,758,683,663,665,800,779,9563
